00:00:01.301,00:00:15.815,00:00:18.385,00:00:19.185,00:00:19.853,00:00:20.520,00:00:20.887,00:00:21.755,00:00:29.462,00:04:16.823,00:07:07.527,00:10:00.766,00:10:16.382,00:10:23.089,00:19:59.331,00:20:02.701,00:20:19.952,00:20:22.387,00:20:25.857,00:20:26.959,00:23:18.063,00:25:47.579,00:47:41.425,00:48:36.179,00:49:34.972,00:58:39.482,01:00:53.616,01:00:58.221,01:06:04.160,01:06:12.835,01:06:17.974,01:12:05.554,01:18:40.749,01:24:09.210,01:24:22.290,01:24:24.225,01:24:25.794,01:28:35.977,01:28:45.186,01:29:00.101
Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
1,39,00:00:01.301,1.3013,14.5145
2,474,00:00:15.815,15.8158,2.56923333333
3,551,00:00:18.385,18.3850333333,0.8008
4,575,00:00:19.185,19.1858333333,0.667333333333
5,595,00:00:19.853,19.8531666667,0.667333333333
6,615,00:00:20.520,20.5205,0.367033333333
7,626,00:00:20.887,20.8875333333,0.867533333333
8,652,00:00:21.755,21.7550666667,7.7077
9,883,00:00:29.462,29.4627666667,227.360466667
10,7697,00:04:16.823,256.823233333,170.703866667
11,12813,00:07:07.527,427.5271,173.239733333
12,18005,00:10:00.766,600.766833333,15.6156
13,18473,00:10:16.382,616.382433333,6.7067
14,18674,00:10:23.089,623.089133333,576.242333333
15,35944,00:19:59.331,1199.33146667,3.37003333333
16,36045,00:20:02.701,1202.7015,17.2505666667
17,36562,00:20:19.952,1219.95206667,2.43576666667
18,36635,00:20:22.387,1222.38783333,3.47013333333
19,36739,00:20:25.857,1225.85796667,1.1011
20,36772,00:20:26.959,1226.95906667,171.104266667
21,41900,00:23:18.063,1398.06333333,149.516033333
22,46381,00:25:47.579,1547.57936667,1313.84586667
23,85757,00:47:41.425,2861.42523333,54.7547
24,87398,00:48:36.179,2916.17993333,58.7920666667
25,89160,00:49:34.972,2974.972,544.510633333
26,105479,00:58:39.482,3519.48263333,134.134
27,109499,01:00:53.616,3653.61663333,4.6046
28,109637,01:00:58.221,3658.22123333,305.938966667
29,118806,01:06:04.160,3964.1602,8.67533333333
30,119066,01:06:12.835,3972.83553333,5.13846666667
31,119220,01:06:17.974,3977.974,347.580566667
32,129637,01:12:05.554,4325.55456667,395.1948
33,141481,01:18:40.749,4720.74936667,328.461466667
34,151325,01:24:09.210,5049.21083333,13.0797333333
35,151717,01:24:22.290,5062.29056667,1.93526666667
36,151775,01:24:24.225,5064.22583333,1.56823333333
37,151822,01:24:25.794,5065.79406667,250.183266667
38,159320,01:28:35.977,5315.97733333,9.2092
39,159596,01:28:45.186,5325.18653333,14.9149
40,160043,01:29:00.101,5340.10143333,13.2465666667
